﻿# Bermuda Coral d18O and Sr/Ca Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
#
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/1872
# Online_Resource: 
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/atlantic/bermuda.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#
#--------------------
# Contribution_Date
#	Date: 2002-12-01
#--------------------
# Title
#	Study_Name: Northeast Breakers - del18O, del13C, and Sr/Ca Data
#--------------------
# Investigators
#       Investigators: Kuhnert, H.; Pätzold, J.; Schnetger, B.; Wefer, G. 
#--------------------
# Description_and_Notes
#	Description: 
#--------------------
# Publication 
#       Authors: Kuhnert, H.; Pätzold, J.; Schnetger, B.; Wefer, G. 
#       Published_Date_or_Year: 2002-05-20
#       Published_Title: Sea-surface temperature variability in the 16th century at Bermuda inferred from coral records. 
#       Journal_Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#       Volume: 179
#       Edition: 
#       Issue: 
#       Pages: 159-171
#       DOI: 10.1016/S0031-0182(01)00410-2
#       Online_Resource: 
#       Full_Citation: Kuhnert, H., J. Pätzold, B. Schnetger, and G. Wefer. 2002. Sea-surface temperature variability in the 16th century at Bermuda inferred from coral records. Palaeogeography, Palaeoclimatology, Palaeoecology 179:159-171, 20 May 2002.
#       Abstract: Records of skeletal d18O in monthly and Sr/Ca ratios in half-yearly resolution were obtained from a Bermuda coral (Diploria labyrinthiformis) for the time period 1520-1603 (±15 years) A.D. within the Little Ice Age. Annual and decadal averages of both sea surface temperature proxies indicate temperature variabilities of 0.5 °C (standard deviation) and 0.3 °C, respectively. Both numbers are close to recent instrumental observations. Approximately 30% of the interannual time series variance of d18O is concentrated in broad bands centered at periods of ~30, 16, and 7.8 years, the last two reflecting the influence of the North Atlantic Oscillation. Although this large-scale climate signal is present in the record, there is no correlation with other contemporaneous Northern Hemisphere proxy data, resulting from spatial differences in climate variability.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Northeast Breakers, Bermuda
#       Location: Ocean>Atlantic Ocean>North Atlantic Ocean>Bermuda
#	Country: Bermuda 
#	Northernmost_Latitude: 32.47 
# 	Southernmost_Latitude: 32.47 
# 	Easternmost_Longitude: -64.70 
# 	Westernmost_Longitude: -64.70 
# 	Elevation: -11 m  
#------------------
# Data_Collection   
#	Collection_Name: 02berm01a
#	Earliest_Year: 1519
#	Most_Recent_Year: 1604
#	Time_Unit: AD
#	Core_Length: 0.26879 m
#	Notes: 
#------------------
# Species
#	Species_Name: Diploria labyrinthiformis 
#	Common_Name: 
#------------------
# Chronology_Information
# 	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##d18O	delta 18O, Diploria labyrinthiformis, , permil VPDB, , corals and sclerosponges, , ,N
##Sr/Ca	Strontium/Calcium, Diploria labyrinthiformis, ,mmol/mol, ,corals and sclerosponges, , analytical technique: ICP-AES,N
##d13C	delta 13C, Diploria labyrinthiformis, , permil VPDB, , corals and sclerosponges, , ,N
##depth	depth, , , mm, , , , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18O	Sr/Ca	d13C	depth
1572.46	-3.48	NAN	0.77	94.22
1572.38	-3.37	NAN	1.03	94.42
1572.29	-3.29	NAN	1.08	94.62
1572.21	-3.11	9.35	1.02	94.82
1572.14	-3.19	NAN	1.01	95.02
1572.07	-3.14	NAN	0.89	95.22
1571.99	-3.29	NAN	0.53	95.42
1571.92	-3.51	NAN	0.47	95.62
1571.85	-3.52	NAN	0.88	95.82
1571.78	-3.69	NAN	0.75	96.02
1571.71	-3.77	NAN	0.87	96.22
1571.64	-3.79	9.2	0.63	96.42
1571.57	-3.68	NAN	0.75	96.62
1571.49	-3.62	NAN	0.78	96.82
1571.42	-3.49	NAN	0.73	97.02
1571.35	-3.29	NAN	0.94	97.22
1571.28	-3.15	NAN	0.99	97.42
1571.21	-3.07	9.37	1.03	97.62
1571.14	-3.11	NAN	1.08	97.82
1571.07	-3.18	NAN	0.82	98.02
1571.01	-3.21	NAN	0.63	98.22
1570.94	-3.45	NAN	0.44	98.42
1570.81	-3.68	NAN	0.52	98.82
1570.67	-3.78	NAN	0.74	99.22
1570.61	-3.81	9.19	0.57	99.42
1570.54	-3.63	NAN	0.72	99.62
1570.47	-3.42	NAN	0.72	99.82
1570.41	-3.23	NAN	0.96	100.02
1570.34	-3.05	NAN	1.13	100.22
1570.27	-3.1	NAN	1.02	100.42
1570.21	-2.91	NAN	1.05	100.62
1570.14	-3.18	9.36	0.84	100.81
1570.08	-3.27	NAN	0.69	101
1570.01	-3.42	NAN	0.47	101.19
1569.94	-3.56	NAN	0.33	101.39
1569.88	-3.68	NAN	0.58	101.58
1569.81	-3.84	NAN	0.62	101.77
1569.74	-3.84	9.17	0.71	101.97
1569.68	-3.82	NAN	0.91	102.16
1569.61	-3.83	NAN	0.74	102.35
1569.54	-3.69	NAN	0.83	102.54
1569.48	-3.57	NAN	0.85	102.74
1569.41	-3.16	NAN	0.81	102.93
1569.34	-3.22	NAN	0.98	103.12
1569.28	-3.17	NAN	1.13	103.32
1569.21	-3.13	9.34	1.35	103.51
1569.13	-3.19	NAN	1.22	103.7
1569.06	-3.32	NAN	1.23	103.89
1568.98	-3.36	NAN	1.11	104.09
1568.9	-3.69	NAN	0.46	104.28
1568.83	-3.79	NAN	0.35	104.47
1568.75	-3.81	9.11	0.49	104.67
1568.67	-3.67	NAN	0.67	104.86
1568.6	-3.48	NAN	0.78	105.06
1568.52	-3.36	NAN	0.88	105.26
1568.44	-3.25	NAN	0.86	105.45
1568.36	-3.12	NAN	0.97	105.65
1568.29	-3.09	9.3	0.89	105.84
1568.21	-3.07	NAN	0.81	106.04
1568.05	-3.27	NAN	0.55	106.43
1567.82	-3.59	NAN	0.55	107.02
1567.75	-3.73	9.09	0.14	107.21
1567.67	-3.6	NAN	0.1	107.41
1567.52	-3.38	NAN	0.34	107.8
1567.36	-2.97	NAN	0.43	108.19
1567.29	-3.1	NAN	0.75	108.39
1567.21	-2.85	9.32	0.68	108.58
1567.14	-3.27	NAN	-0.01	108.78
1567.07	-3.18	NAN	0.25	108.98
1566.99	-3.27	NAN	-0.2	109.17
1566.85	-3.53	NAN	0.07	109.56
1566.71	-3.72	9.05	0.32	109.95
1566.64	-3.58	NAN	0.39	110.15
1566.57	-3.7	NAN	0.11	110.35
1566.49	-3.43	NAN	0.7	110.54
1566.42	-3.55	NAN	0.46	110.74
1566.35	-3.46	NAN	0.8	110.93
1566.28	-3.2	NAN	0.95	111.13
1566.21	-2.98	9.26	0.96	111.33
1566.15	-2.98	NAN	0.7	111.52
1566.08	-3.08	NAN	0.46	111.72
1566.02	-3.17	NAN	0.4	111.91
1565.9	-3.64	NAN	-0.25	112.3
1565.83	-3.82	NAN	0	112.5
1565.77	-3.59	NAN	0.64	112.7
1565.71	-3.83	9.07	0.12	112.89
1565.58	-3.56	NAN	0.19	113.28
1565.52	-3.4	NAN	0.5	113.48
1565.46	-3.29	NAN	0.57	113.67
1565.4	-3.21	NAN	0.49	113.87
1565.27	-3.03	NAN	0.3	114.26
1565.21	-2.94	9.33	0.1	114.46
1565.15	-3.12	NAN	-0.22	114.65
1565.08	-3.34	NAN	0.01	114.85
1565.02	-3.41	NAN	-0.29	115.04
1564.96	-3.62	NAN	-0.37	115.24
1564.9	-3.95	9.12	-0.67	115.44
1564.83	-3.83	NAN	-0.2	115.63
1564.77	-3.73	NAN	0.12	115.83
1564.71	-3.61	NAN	0.04	116.02
1564.65	-3.91	NAN	0.08	116.22
1564.58	-3.76	NAN	0.26	116.42
1564.52	-3.76	NAN	0.21	116.61
1564.46	-3.51	NAN	0.38	116.81
1564.4	-3.43	NAN	0.52	117
1564.33	-3.13	NAN	0.63	117.2
1564.27	-3.13	NAN	0.77	117.39
1564.21	-3.12	9.36	0.7	117.59
1564.15	-3.28	NAN	0.41	117.79
1564.08	-3.37	NAN	0.19	117.98
1564.02	-3.54	NAN	-0.07	118.18
1563.96	-3.66	NAN	-0.1	118.37
1563.9	-3.79	NAN	-0.01	118.57
1563.83	-3.93	NAN	-0.07	118.76
1563.77	-4.01	NAN	0.06	118.96
1563.71	-3.99	NAN	0.13	119.16
1563.65	-4.04	9.15	0.14	119.35
1563.58	-3.93	NAN	0.23	119.55
1563.52	-3.79	NAN	0.39	119.74
1563.46	-3.66	NAN	0.57	119.94
1563.4	-3.27	NAN	0.95	120.14
1563.33	-3.29	NAN	0.87	120.33
1563.27	-3.07	NAN	1.03	120.53
1563.21	-3.04	9.36	0.7	120.73
1563.15	-3.2	NAN	0.42	120.93
1563.09	-3.2	NAN	0.23	121.13
1563.03	-3.47	NAN	0.14	121.33
1562.97	-3.62	NAN	-0.07	121.53
1562.91	-3.86	NAN	-0.33	121.73
1562.86	-3.89	NAN	-0.11	121.93
1562.8	-3.96	NAN	0.11	122.14
1562.74	-3.92	NAN	0.13	122.34
1562.68	-4.02	9.12	0.07	122.54
1562.62	-4	NAN	0.02	122.74
1562.56	-3.91	NAN	0.15	122.94
1562.5	-3.87	NAN	0.12	123.14
1562.44	-3.54	NAN	0.33	123.34
1562.38	-3.3	NAN	0.45	123.54
1562.33	-3.15	NAN	0.49	123.74
1562.27	-3.13	NAN	0.68	123.95
1562.21	-3.09	9.41	0.52	124.15
1562.15	-3.18	NAN	0.29	124.35
1562.09	-3.31	NAN	0.04	124.55
1562.03	-3.42	NAN	-0.24	124.75
1561.97	-3.7	NAN	-0.38	124.95
1561.91	-3.79	NAN	-0.14	125.15
1561.86	-3.83	NAN	-0.06	125.35
1561.8	-3.92	NAN	0.09	125.55
1561.74	-3.9	NAN	0.16	125.76
1561.68	-3.97	9.04	-0.02	125.96
1561.62	-3.95	NAN	0.09	126.16
1561.56	-3.68	NAN	0.31	126.36
1561.5	-3.57	NAN	0.3	126.56
1561.44	-3.31	NAN	0.79	126.76
1561.38	-3.19	NAN	0.87	126.96
1561.33	-3.11	NAN	0.79	127.16
1561.27	-3.2	NAN	0.57	127.36
1561.21	-3.04	NAN	0.38	127.57
1561.13	-3.19	9.32	0.24	127.77
1561.05	-3.41	NAN	0.39	127.97
1560.98	-3.6	NAN	0.25	128.17
1560.9	-3.83	NAN	0.22	128.37
1560.82	-3.85	9.16	0.21	128.57
1560.74	-3.81	NAN	0.31	128.77
1560.67	-3.77	NAN	0.5	128.97
1560.59	-3.64	NAN	0.46	129.17
1560.51	-3.68	9.16	0.57	129.38
1560.36	-3.73	NAN	0.32	129.77
1560.28	-3.54	NAN	0.57	129.97
1560.21	-3.14	9.25	1.17	130.17
1560.14	-3.29	NAN	1.1	130.37
1560.07	-3.19	NAN	0.96	130.57
1559.92	-3.26	NAN	0.23	130.96
1559.85	-3.66	NAN	0.07	131.16
1559.78	-3.81	NAN	0.05	131.36
1559.71	-3.88	NAN	-0.24	131.55
1559.64	-3.89	NAN	0.01	131.75
1559.57	-3.94	9.04	0.12	131.95
1559.49	-3.82	NAN	0.24	132.15
1559.42	-3.61	NAN	0.2	132.34
1559.28	-3.27	NAN	0.69	132.74
1559.21	-3.18	9.32	0.92	132.94
1559.15	-3.2	NAN	0.97	133.14
1559.04	-3.24	NAN	0.51	133.53
1558.99	-3.31	NAN	0.23	133.73
1558.93	-3.65	NAN	0.08	133.93
1558.88	-3.83	NAN	0	134.12
1558.82	-3.98	NAN	0.07	134.32
1558.76	-4.06	9.1	0.14	134.52
1558.71	-3.99	NAN	0.18	134.72
1558.65	-3.97	NAN	0.1	134.91
1558.6	-3.79	NAN	0.34	135.11
1558.54	-3.65	NAN	0.38	135.31
1558.49	-3.54	NAN	0.63	135.51
1558.43	-3.23	NAN	0.69	135.71
1558.32	-3.13	NAN	1.03	136.1
1558.21	-3.05	9.32	0.66	136.5
1558.11	-3.12	NAN	0.45	136.69
1558.01	-3.54	NAN	0.01	136.89
1557.91	-3.64	NAN	-0.36	137.09
1557.81	-3.78	9.05	-0.12	137.29
1557.71	-3.76	NAN	-0.05	137.48
1557.61	-3.45	NAN	0.65	137.68
1557.51	-3.18	NAN	0.82	137.88
1557.41	-3.2	NAN	0.62	138.08
1557.31	-3.09	NAN	0.84	138.28
1557.21	-3.05	9.25	0.72	138.47
1557.15	-3.18	NAN	0.69	138.67
1557.09	-3.11	NAN	0.6	138.87
1557.03	-3.15	NAN	0.48	139.07
1556.91	-3.39	NAN	-0.03	139.46
1556.86	-3.69	NAN	-0.14	139.66
1556.8	-3.81	NAN	-0.13	139.86
1556.74	-3.94	NAN	0.03	140.05
1556.68	-4.05	9	0.05	140.25
1556.62	-3.95	NAN	-0.02	140.45
1556.56	-3.89	NAN	0.1	140.65
1556.5	-3.61	NAN	0.44	140.84
1556.44	-3.66	NAN	0.42	141.04
1556.38	-3.34	NAN	0.74	141.24
1556.33	-3.18	NAN	0.97	141.44
1556.27	-3.14	NAN	0.81	141.64
1556.21	-3.12	9.28	0.69	141.83
1556.15	-3.16	NAN	0.6	142.03
1556.08	-3.23	NAN	0.32	142.23
1556.02	-3.39	NAN	0.23	142.43
1555.96	-3.55	NAN	0.1	142.62
1555.9	-3.68	NAN	0.02	142.82
1555.83	-3.76	NAN	0.12	143.02
1555.77	-3.89	9.06	0.01	143.22
1555.71	-3.73	NAN	0.37	143.41
1555.65	-3.63	NAN	0.56	143.61
1555.58	-3.63	NAN	0.73	143.81
1555.52	-3.75	NAN	0.6	144.01
1555.46	-3.41	NAN	0.87	144.21
1555.4	-3.21	NAN	0.94	144.4
1555.33	-3.22	NAN	0.78	144.6
1555.27	-3.29	NAN	0.58	144.8
1555.21	-3.19	9.26	0.41	145
1555.11	-3.51	NAN	0.25	145.19
1555.01	-3.76	NAN	0.19	145.39
1554.91	-3.91	9.12	0.21	145.59
1554.81	-3.84	NAN	0.51	145.79
1554.71	-3.73	NAN	0.55	145.98
1554.61	-3.61	NAN	0.78	146.18
1554.51	-3.5	NAN	0.82	146.38
1554.41	-3.35	NAN	0.79	146.58
1554.31	-3.37	NAN	0.76	146.78
1554.21	-3.29	9.26	0.59	146.97
1554.14	-3.32	NAN	0.48	147.17
1554.07	-3.46	NAN	-0.06	147.37
1553.99	-3.67	NAN	0.1	147.57
1553.92	-3.88	NAN	0.14	147.76
1553.85	-4.07	9.05	-0.06	147.96
1553.78	-4.02	NAN	0.25	148.16
1553.71	-3.98	NAN	0.24	148.36
1553.64	-4.05	NAN	0.29	148.55
1553.57	-3.85	NAN	0.3	148.75
1553.49	-3.55	NAN	0.69	148.95
1553.42	-3.4	NAN	0.71	149.15
1553.35	-3.24	NAN	0.91	149.35
1553.28	-3.2	NAN	0.73	149.54
1553.21	-2.92	9.29	0.78	149.74
1553.13	-3.31	NAN	0.45	149.94
1553.06	-3.41	NAN	0.24	150.14
1552.9	-3.71	NAN	0.21	150.54
1552.82	-3.9	NAN	0.17	150.74
1552.75	-3.84	9.16	0.35	150.94
1552.67	-3.71	NAN	0.45	151.14
1552.59	-3.41	NAN	0.64	151.34
1552.52	-3.55	NAN	0.57	151.54
1552.44	-3.35	NAN	0.86	151.74
1552.36	-3.15	NAN	1.08	151.94
1552.29	-3.02	NAN	1.2	152.14
1552.21	-2.92	9.33	1.01	152.34
1552.15	-3.12	NAN	0.78	152.54
1552.09	-3.11	NAN	0.56	152.74
1552.03	-3.37	NAN	0.47	152.94
1551.97	-3.63	NAN	0.39	153.14
1551.91	-3.71	NAN	0.5	153.34
1551.86	-3.84	9.21	0.47	153.54
1551.8	-3.79	NAN	0.71	153.74
1551.68	-3.52	NAN	0.94	154.14
1551.62	-3.52	NAN	0.96	154.34
1551.5	-3.26	NAN	1.05	154.74
1551.44	-3.13	NAN	0.99	154.94
1551.38	-3.06	NAN	0.93	155.14
1551.33	-3.08	NAN	0.8	155.34
1551.27	-3.03	NAN	0.59	155.54
1551.21	-3.02	9.29	0.59	155.74
1551.14	-3.44	NAN	0.67	155.94
1550.99	-3.53	NAN	0.29	156.34
1550.92	-3.66	9.16	0.67	156.54
1550.85	-3.6	NAN	0.6	156.74
1550.78	-3.59	NAN	0.57	156.94
1550.64	-3.33	NAN	0.59	157.34
1550.57	-3.42	NAN	0.69	157.54
1550.42	-3.2	NAN	0.93	157.94
1550.35	-3.3	NAN	1.16	158.14
1550.28	-3.09	NAN	1.23	158.34
1550.21	-3.08	9.34	1.11	158.54
1550.13	-3.34	NAN	0.83	158.74
1550.05	-3.26	NAN	0.5	158.94
1549.82	-3.65	NAN	0.36	159.54
1549.75	-3.77	9.12	0.47	159.74
1549.67	-3.69	NAN	0.48	159.94
1549.59	-3.51	NAN	0.5	160.13
1549.52	-3.4	NAN	0.61	160.33
1549.44	-3.26	NAN	0.75	160.53
1549.36	-3.36	NAN	0.62	160.73
1549.29	-3.33	NAN	0.51	160.93
1549.21	-2.85	9.36	1.31	161.13
1549.15	-2.96	NAN	1.18	161.33
1549.08	-2.94	NAN	0.88	161.53
1549.02	-3.14	NAN	0.69	161.73
1548.9	-3.32	NAN	0.28	162.12
1548.83	-3.78	9.16	0.24	162.32
1548.71	-3.24	NAN	0.47	162.72
1548.65	-3.75	NAN	0.48	162.92
1548.58	-3.5	NAN	0.44	163.12
1548.52	-3.51	9.23	-0.2	163.32
1548.46	-3.09	NAN	0.48	163.52
1548.4	-3.11	NAN	0.78	163.72
1548.33	-2.99	NAN	0.75	163.91
1548.27	-3.02	NAN	0.81	164.11
1548.21	-2.96	9.34	0.69	164.31
1548.15	-3.05	NAN	0.47	164.51
1548.1	-3.12	NAN	0.22	164.71
1548.04	-3.07	NAN	0.25	164.91
1547.99	-3.24	NAN	-0.16	165.11
1547.93	-3.43	NAN	0.23	165.31
1547.88	-3.68	NAN	-0.01	165.51
1547.82	-3.66	NAN	-0.03	165.71
1547.76	-3.65	NAN	0.26	165.9
1547.71	-3.69	9.17	0.26	166.1
1547.65	-3.65	NAN	0.03	166.3
1547.6	-3.65	NAN	0.17	166.5
1547.54	-3.6	NAN	0.03	166.7
1547.49	-3.47	NAN	0.19	166.9
1547.43	-3.32	NAN	0.23	167.1
1547.38	-3.23	NAN	0.38	167.3
1547.32	-3.24	NAN	0.37	167.5
1547.21	-3.09	9.33	0.61	167.89
1547.16	-3.21	NAN	0.6	168.09
1547.11	-3.26	NAN	0.52	168.29
1547.06	-3.23	NAN	0.4	168.49
1546.92	-3.3	NAN	-0.18	169.09
1546.87	-3.43	NAN	-0.47	169.28
1546.78	-3.66	NAN	-0.05	169.68
1546.73	-3.89	9.2	-0.2	169.87
1546.68	-3.77	NAN	-0.23	170.07
1546.64	-3.8	NAN	-0.34	170.27
1546.59	-3.82	NAN	-0.05	170.47
1546.54	-3.62	NAN	0.09	170.66
1546.45	-3.5	NAN	0.06	171.06
1546.4	-3.44	NAN	0.51	171.25
1546.35	-3.21	NAN	0.65	171.45
1546.3	-3	NAN	0.82	171.65
1546.26	-3.24	NAN	0.55	171.85
1546.21	-2.97	9.38	0.66	172.04
1546.15	-3.33	NAN	0.35	172.24
1546.09	-3.21	NAN	0.11	172.44
1546.03	-3.52	NAN	0.11	172.63
1545.97	-3.76	NAN	-0.15	172.83
1545.91	-3.41	NAN	0.02	173.03
1545.86	-3.78	NAN	-0.23	173.23
1545.8	-3.85	9.06	-0.12	173.42
1545.74	-3.73	NAN	0.03	173.62
1545.68	-3.84	NAN	0.05	173.82
1545.62	-3.75	NAN	0.05	174.01
1545.5	-3.42	NAN	0.47	174.41
1545.38	-3.35	NAN	0.43	174.8
1545.33	-3.22	NAN	0.67	175
1545.27	-3.08	NAN	0.58	175.2
1545.21	-3.03	9.32	0.38	175.4
1545.15	-3.08	NAN	0.46	175.59
1545.09	-3.19	NAN	0.34	175.79
1545.03	-3.21	NAN	0.19	175.99
1544.97	-3.38	NAN	0.37	176.18
1544.91	-3.5	NAN	0.24	176.38
1544.8	-3.76	9.2	0.08	176.78
1544.74	-3.64	NAN	0.27	176.97
1544.68	-3.66	NAN	0.23	177.17
1544.62	-3.62	NAN	0.17	177.37
1544.56	-3.56	NAN	0.2	177.56
1544.5	-3.54	NAN	-0.05	177.76
1544.44	-3.35	NAN	0.44	177.96
1544.38	-3.08	NAN	0.41	178.16
1544.33	-3.02	NAN	0.34	178.35
1544.27	-3.07	NAN	0.35	178.55
1544.21	-2.91	9.35	0.22	178.75
1544.15	-3	NAN	0.15	178.94
1544.09	-3.1	NAN	0.14	179.14
1543.97	-3.37	NAN	0.06	179.53
1543.91	-3.31	NAN	0.13	179.73
1543.85	-3.49	NAN	-0.04	179.93
1543.8	-3.56	NAN	0	180.12
1543.74	-3.7	9.17	0.02	180.32
1543.68	-3.62	NAN	-0.13	180.52
1543.62	-3.66	NAN	0.14	180.71
1543.56	-3.7	NAN	0.02	180.91
1543.5	-3.42	NAN	0.32	181.11
1543.44	-3.26	NAN	0.53	181.3
1543.38	-3.25	NAN	0.6	181.5
1543.33	-3.13	NAN	0.66	181.7
1543.27	-3.07	NAN	0.84	181.89
1543.21	-2.91	9.37	0.57	182.09
1543.15	-3.1	NAN	0.31	182.28
1543.08	-3.13	NAN	0.21	182.48
1543.02	-3.32	NAN	0.31	182.68
1542.96	-3.36	NAN	0.12	182.87
1542.83	-3.78	NAN	0.13	183.27
1542.77	-3.71	NAN	0.23	183.46
1542.71	-3.86	9.11	0.15	183.66
1542.65	-3.63	NAN	0.16	183.86
1542.58	-3.76	NAN	-0.18	184.05
1542.52	-3.58	NAN	0.5	184.25
1542.46	-3.21	NAN	0.86	184.45
1542.4	-3.3	NAN	0.81	184.64
1542.33	-3.04	NAN	1.06	184.84
1542.27	-3.1	NAN	0.8	185.03
1542.21	-2.94	9.37	0.87	185.23
1542.15	-3.02	NAN	0.76	185.43
1542.09	-3.08	NAN	0.8	185.62
1542.03	-3.08	NAN	0.5	185.82
1541.97	-3.26	NAN	0.58	186.02
1541.91	-3.34	NAN	0.31	186.21
1541.8	-3.52	NAN	0.79	186.61
1541.74	-3.84	9.23	-0.07	186.8
1541.62	-3.73	NAN	-0.03	187.2
1541.56	-3.75	NAN	0.16	187.39
1541.5	-3.68	NAN	0.15	187.59
1541.38	-3.47	NAN	0.4	187.98
1541.33	-3.65	NAN	0.44	188.18
1541.27	-3.26	NAN	0.34	188.37
1541.21	-3.02	9.32	0.61	188.57
1541.15	-3.18	NAN	0.46	188.77
1541.09	-3.1	NAN	0.3	188.96
1541.03	-3.19	NAN	-0.02	189.16
1540.98	-3.22	NAN	0.03	189.36
1540.92	-3.34	NAN	0.14	189.55
1540.8	-3.53	NAN	0.24	189.95
1540.74	-3.64	NAN	0.28	190.14
1540.68	-3.52	NAN	0.25	190.34
1540.57	-3.62	NAN	0.3	190.74
1540.51	-3.59	NAN	0.35	190.94
1540.45	-3.72	NAN	0.4	191.14
1540.39	-3.83	9.24	0.49	191.34
1540.33	-3.54	NAN	0.56	191.54
1540.21	-3.08	9.35	0.69	191.95
1540.16	-3.24	NAN	0.54	192.15
1540.11	-3.11	NAN	0.57	192.35
1540.07	-3.19	NAN	0.41	192.55
1540.02	-3.29	NAN	0.41	192.75
1539.97	-3.1	NAN	0.25	192.95
1539.92	-3.39	NAN	0.21	193.15
1539.88	-3.4	NAN	-0.09	193.35
1539.83	-3.51	NAN	0.08	193.55
1539.78	-3.63	NAN	-0.1	193.75
1539.73	-3.81	NAN	-0.17	193.95
1539.68	-3.81	NAN	-0.05	194.15
1539.64	-3.83	9.15	0.09	194.36
1539.59	-3.76	NAN	-0.02	194.56
1539.54	-3.66	NAN	0.08	194.76
1539.49	-3.67	NAN	0.12	194.96
1539.45	-3.57	NAN	0.12	195.16
1539.4	-3.48	NAN	0.23	195.36
1539.35	-3.46	NAN	0.36	195.56
1539.3	-3.26	NAN	0.53	195.76
1539.26	-3.22	NAN	0.51	195.96
1539.21	-3.2	9.31	0.34	196.16
1539.16	-3.25	NAN	0.31	196.36
1539.11	-3.31	NAN	0.16	196.56
1539.07	-3.34	NAN	-0.11	196.77
1539.02	-3.51	NAN	-0.08	196.97
1538.97	-3.54	NAN	-0.06	197.17
1538.92	-3.62	NAN	0.04	197.37
1538.88	-3.7	NAN	0.08	197.57
1538.83	-3.77	9.21	0.17	197.77
1538.78	-3.63	NAN	0.22	197.97
1538.73	-3.73	NAN	-0.03	198.17
1538.68	-3.55	NAN	0.15	198.37
1538.64	-3.45	NAN	0.29	198.57
1538.59	-3.58	NAN	0.26	198.77
1538.54	-3.32	NAN	0.5	198.97
1538.49	-3.26	NAN	0.46	199.18
1538.45	-3.18	NAN	0.62	199.38
1538.4	-3.14	NAN	0.68	199.58
1538.35	-3.27	NAN	0.53	199.78
1538.3	-3.2	NAN	0.38	199.98
1538.26	-3.29	NAN	0.17	200.18
1538.21	-3.13	9.3	0.16	200.38
1538.17	-3.45	NAN	0.34	200.58
1538.13	-3.55	NAN	0.35	200.78
1538.09	-3.72	NAN	0.18	200.98
1538.06	-3.77	NAN	0.06	201.18
1538.02	-3.75	NAN	0.09	201.39
1537.98	-3.89	NAN	-0.04	201.59
1537.94	-3.95	9.19	-0.03	201.79
1537.9	-4.16	NAN	-0.23	201.99
1537.83	-3.83	NAN	0.02	202.39
1537.79	-3.83	NAN	-0.19	202.59
1537.75	-4.07	NAN	-0.35	202.8
1537.71	-4.13	NAN	-0.22	203
1537.67	-4.03	NAN	-0.21	203.2
1537.63	-3.94	NAN	-0.32	203.41
1537.59	-3.92	NAN	-0.33	203.61
1537.56	-3.85	NAN	-0.27	203.81
1537.52	-3.62	NAN	-0.21	204.02
1537.48	-3.19	NAN	-0.28	204.22
1537.4	-3.36	NAN	-0.2	204.63
1537.36	-3.34	NAN	0.02	204.83
1537.32	-3.21	NAN	0.1	205.03
1537.29	-3.24	NAN	0.13	205.23
1537.25	-3.09	NAN	0.38	205.44
1537.21	-2.95	9.31	0.36	205.64
1537.14	-3.05	NAN	0.34	205.84
1537.01	-3.23	NAN	0.56	206.25
1536.94	-3.07	NAN	0.42	206.45
1536.88	-3.28	NAN	0.35	206.66
1536.81	-3.58	NAN	0.46	206.86
1536.74	-3.56	NAN	0.45	207.06
1536.68	-3.77	9.13	0.35	207.27
1536.61	-3.68	NAN	0.27	207.47
1536.54	-3.61	NAN	0.21	207.67
1536.48	-3.63	NAN	0.18	207.88
1536.41	-3.61	NAN	0.13	208.08
1536.34	-3.51	NAN	0.06	208.28
1536.28	-3.48	NAN	0.03	208.48
1536.21	-3.22	9.25	-0.01	208.69
1536.09	-3.28	NAN	0.75	209.09
1536.03	-3.32	NAN	0.85	209.3
1535.97	-3.48	NAN	0.78	209.5
1535.91	-3.55	NAN	0.62	209.7
1535.86	-3.67	NAN	0.53	209.91
1535.8	-3.86	9.16	0.23	210.11
1535.74	-3.69	NAN	0.28	210.31
1535.68	-3.81	NAN	0.04	210.52
1535.62	-3.64	NAN	-0.17	210.72
1535.56	-3.61	NAN	0.12	210.92
1535.5	-3.48	NAN	0.26	211.12
1535.44	-3.3	NAN	0.17	211.33
1535.33	-3.14	NAN	0.14	211.73
1535.27	-3.28	NAN	0.31	211.94
1535.21	-3.03	9.37	0.6	212.14
1535.16	-3.11	NAN	0.72	212.34
